row,corner,freq_mhz,period_target_ps,status,delay_ps,levels,slack_ps,fmax_mhz,gate_count,ff_count,area_um2,seq_area_um2,actual_depth,char_depth,storage_bits,elapsed_s,notes,error
axi4_master_rd_AW64_DW512,FF,1000,1000,OK,176.28,8,823.72,5672.8,15507,2312,1926.4554,842.724,0,0,0,4.5,,
axi4_master_rd_AW64_DW512,SS,500,2000,OK,329.17,9,1670.83,3037.9,15508,2312,1932.98724,842.724,0,0,0,4.2,,
axi4_master_rd_AW64_DW512,SS,750,1333,OK,329.17,9,1003.8299999999999,3037.9,15508,2312,1932.98724,842.724,0,0,0,4.2,,
axi4_master_rd_AW64_DW512,SS,1000,1000,OK,329.17,9,670.8299999999999,3037.9,15508,2312,1932.98724,842.724,0,0,0,4.2,,
axi4_master_wr_AW64_DW512,TT,500,2000,OK,212.64,8,1787.3600000000001,4702.8,17137,2556,2135.83878,931.662,0,0,0,5.2,,
axi4_master_wr_AW64_DW512,TT,750,1333,OK,212.64,8,1120.3600000000001,4702.8,17137,2556,2135.83878,931.662,0,0,0,5.3,,
axi4_master_wr_AW64_DW512,TT,1000,1000,OK,212.64,8,787.36,4702.8,17137,2556,2135.83878,931.662,0,0,0,5.2,,
axi4_master_wr_AW64_DW512,FF,500,2000,OK,166.13,8,1833.87,6019.4,17115,2556,2127.84894,931.662,0,0,0,5.0,,
axi4_master_wr_AW64_DW512,FF,750,1333,OK,166.13,8,1166.87,6019.4,17115,2556,2127.84894,931.662,0,0,0,5.0,,
axi4_master_wr_AW64_DW512,FF,1000,1000,OK,166.13,8,833.87,6019.4,17115,2556,2127.84894,931.662,0,0,0,5.0,,
axi4_master_wr_AW64_DW512,SS,500,2000,OK,331.04,9,1668.96,3020.8,17128,2556,2136.05748,931.662,0,0,0,4.6,,
axi4_master_wr_AW64_DW512,SS,750,1333,OK,331.04,9,1001.96,3020.8,17128,2556,2136.05748,931.662,0,0,0,4.7,,
axi4_master_wr_AW64_DW512,SS,1000,1000,OK,331.04,9,668.96,3020.8,17128,2556,2136.05748,931.662,0,0,0,4.7,,
