Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3572,3572,0,0000234,05,2,2,3,b010000000000000,0,0,2,5a4504bd9cefc3f8,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3573,3573,0,0000238,05,2,2,3,b01824ec775de246,0,0,2,cdbb97210b115064,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3574,3574,0,000023c,05,2,2,3,3e93a9b9f9d6e246,0,0,2,40ee19aa8644deef,3,1,b010000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3575,3575,0,0000000,00,3,3,3,ad0f3e476a4a6f13,0,0,3,5db22cfc9b18ebb9,0,1,b01824ec775de246,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3576,3576,0,0000000,00,3,3,3,2384b312e4c1f8ed,0,0,3,5db22cfc9b18ebb9,0,1,3e93a9b9f9d6e246,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3577,3577,0,0000000,00,3,3,3,8a3611ba4d7375b8,0,0,3,5db22cfc9b18ebb9,0,1,ad0f3e476a4a6f13,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3578,3578,0,0000000,00,3,3,3,04bd9cefc3f8d710,0,0,3,5db22cfc9b18ebb9,0,1,2384b312e4c1f8ed,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3579,3579,0,0000240,05,2,2,3,97210b1150645a45,0,0,2,5db22cfc9b18ebb9,3,1,8a3611ba4d7375b8,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3580,3580,0,0000244,05,2,2,3,19aa8644deefcdbb,0,0,2,d0e7a277164d6532,3,1,04bd9cefc3f8d710,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3581,3581,0,0000248,05,2,2,3,2cfc9b18ebb940ee,0,0,2,471931eb81b3f6ae,3,1,97210b1150645a45,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3582,3582,0,000024c,05,2,2,3,0000000000000004,0,0,2,ca4cbf600ce67825,3,1,19aa8644deefcdbb,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3583,3583,0,0000250,05,2,2,3,0000000000000000,0,0,2,68e416d2ae4ed197,3,1,2cfc9b18ebb940ee,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3584,3584,0,0000254,05,2,2,3,2cb0000000000000,0,0,2,e5b19859231b5f1c,3,1,0000000000000004,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3585,3585,0,0000258,05,2,2,3,2cfc9b18ebb95db2,0,0,2,724f0bc5b4e5cc80,3,1,0000000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3586,3586,0,000025c,05,2,2,3,a277164d65325db2,0,0,2,ff1a854e39b0420b,3,1,2cb0000000000000,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3587,3587,0,0000000,00,3,3,3,31eb81b3f6aed0e7,0,0,3,371e58a0f1b49fe5,0,1,2cfc9b18ebb95db2,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3588,3588,0,0000000,00,3,3,3,bf600ce678254719,0,0,3,371e58a0f1b49fe5,0,1,a277164d65325db2,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3589,3589,0,0000000,00,3,3,3,16d2ae4ed197ca4c,0,0,3,371e58a0f1b49fe5,0,1,31eb81b3f6aed0e7,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3590,3590,0,0000000,00,3,3,3,9859231b5f1c68e4,0,0,3,371e58a0f1b49fe5,0,1,bf600ce678254719,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3591,3591,0,0000260,05,2,2,3,0bc5b4e5cc80e5b1,0,0,2,371e58a0f1b49fe5,3,1,16d2ae4ed197ca4c,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3592,3592,0,0000264,05,2,2,3,854e39b0420b724f,0,0,2,ba4bd62b7ce1116e,3,1,9859231b5f1c68e4,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3593,3593,0,0000268,05,2,2,3,58a0f1b49fe5ff1a,0,0,2,2db545b7eb1f82f2,3,1,0bc5b4e5cc80e5b1,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
3594,3594,0,000026c,05,2,2,3,0000000000000000,0,0,2,a0e0cb3c664a0c79,3,1,854e39b0420b724f,527a7cb694d0bbf3,527a7cb694d0bbf3,0,0
