Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
134,134,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
135,135,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
136,136,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
137,137,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
138,138,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
139,139,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
140,140,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
141,141,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
142,142,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
143,143,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
144,144,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
145,145,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
146,146,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
147,147,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
148,148,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
149,149,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
150,150,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
151,151,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
152,152,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
153,153,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
154,154,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
