Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_op[3:0],u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_rdy,u_harness/u_dut/u_ctrl/u_core/u_core/w_cmd_v,u_harness/u_dut/u_ctrl/u_core/u_core/u_dfi/u_rd/r_outstanding[4:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3168,3168,0,0000000,00,3,3,3,22f8a5a022fca5a0,0,0,3,a5a02260a5a02264,0,1,0000000000000000,4,1,1,00
3169,3169,0,0000000,00,3,3,3,22f0a5a022f4a5a0,0,0,3,a5a02260a5a02264,0,1,0000000000000000,4,1,1,00
3170,3170,0,0000000,00,3,3,3,22e8a5a022eca5a0,0,0,3,a5a022e0a5a022e4,0,1,0000000000000000,4,1,1,00
3171,3171,0,0000000,00,3,3,3,2260a5a02264a5a0,0,0,3,a5a022e0a5a022e4,0,1,0000000000000000,4,1,1,00
3172,3172,0,0000000,00,3,3,3,0000000000000020,0,0,3,a5a022e0a5a022e4,0,1,2200000000000000,4,1,0,00
3173,3173,0,00001dc,07,2,2,3,0000000000000000,0,0,2,a5a022e0a5a022e4,3,1,22c8a5a022cca5a0,4,1,0,00
3174,3174,0,00001e0,00,2,2,3,0000000000000000,0,0,2,a5a02118a5a0211c,3,1,22c0a5a022c4a5a0,4,1,0,00
3175,3175,0,00001e0,01,2,2,3,0000000000000000,0,0,2,a5a02110a5a02114,3,1,22f8a5a022fca5a0,4,1,0,00
3176,3176,0,00001e0,02,2,2,3,0000000000000000,0,0,2,a5a02108a5a0210c,3,1,22f0a5a022f4a5a0,4,1,0,00
3177,3177,0,00001e0,03,2,2,3,0000000000000000,0,0,2,a5a02100a5a02104,3,1,22e8a5a022eca5a0,4,1,0,00
3178,3178,0,0000000,00,3,3,3,2200000000000000,0,0,3,a5a022b8a5a022bc,0,1,2260a5a02264a5a0,4,1,0,00
3179,3179,0,0000000,00,3,3,3,22e0a5a022e4a5a0,0,0,3,a5a022b8a5a022bc,0,1,0000000000000020,4,1,0,00
3180,3180,0,0000000,00,3,3,3,2118a5a0211ca5a0,0,0,3,a5a022b8a5a022bc,0,1,0000000000000000,4,1,1,00
3181,3181,0,0000000,00,3,3,3,2110a5a02114a5a0,0,0,3,a5a022b8a5a022bc,0,1,0000000000000000,4,1,1,00
3182,3182,0,0000000,00,3,3,3,2108a5a0210ca5a0,0,0,3,a5a022b8a5a022bc,0,1,0000000000000000,4,1,1,00
3183,3183,0,0000000,00,3,3,3,2100a5a02104a5a0,0,0,3,a5a02138a5a0213c,0,1,0000000000000000,4,1,1,00
3184,3184,0,0000000,00,3,3,3,22b8a5a022bca5a0,0,0,3,a5a02138a5a0213c,0,1,0000000000000000,4,1,1,00
3185,3185,0,0000000,00,3,3,3,00000000000000b8,0,0,3,a5a02138a5a0213c,0,1,2200000000000000,4,1,0,00
3186,3186,0,00001e0,04,2,2,3,0000000000000000,0,0,2,a5a02138a5a0213c,3,1,22e0a5a022e4a5a0,4,1,0,00
